SYMBOL,Z,N,A,EPorc,MAE,MSE
Rh,45,50,95,0.46280671615137386,0.03945598817640139,0.0015567750029763263
Rh,45,51,96,0.3390857573456754,0.028939862274455663,0.0008375156284644622
Rh,45,52,97,0.16400668391893516,0.01403879977243605,0.00019708789905055048
Rh,45,53,98,0.056846851559939494,0.00486654742852366,2.3683283874070247e-05
Rh,45,54,99,0.06907415226109341,0.005926697580266094,3.512574420793197e-05
Rh,45,55,100,0.14454511765612535,0.012394994191156528,0.00015363588099880405
Rh,45,56,101,0.24073017983340322,0.020674430710043268,0.00042743208518438016
Rh,45,57,102,0.2995965831424489,0.02569634440954971,0.0006603021160141966
Rh,45,58,103,0.3716368881996425,0.031902026627340874,0.001017739302931566
Rh,45,59,104,0.3983981158777993,0.034138535748908794,0.0011654396230795236
Rh,45,60,105,0.4286021217013524,0.036742796803004296,0.0013500331169068627
Rh,45,61,106,0.42656116771606,0.03648775094515422,0.0013313559690356026
Rh,45,62,107,0.42523452743273166,0.036375003720504395,0.0013231408956667085
Rh,45,63,108,0.39199283848337696,0.03344743847572751,0.001118731140587577
Rh,45,64,109,0.38001427194356363,0.032408150651384915,0.0010502882286428604
Rh,45,65,110,0.3198531681844438,0.02720112936783714,0.0007399014388858122
Rh,45,66,111,0.29714969916525374,0.02524472918125298,0.0006372963514348057
Rh,45,67,112,0.22117533645933757,0.01873104419684246,0.00035085201670406567
Rh,45,68,113,0.18584501316490643,0.01571657173775698,0.00024701062718806145
Rh,45,69,114,0.10612318803953216,0.008942600016563773,7.99700950562464e-05
Rh,45,70,115,0.06956396823736999,0.005850784537987153,3.423167970994954e-05
Rh,45,71,116,0.015938172655262397,0.001335238312762499,1.7828613518688449e-06
Rh,45,72,117,0.06724054277325212,0.005620822957757454,3.159365072245326e-05
Rh,45,73,118,0.1477254327268169,0.012294971938995758,0.0001511663349806931
Rh,45,74,119,0.22435093711465687,0.018628745167884375,0.00034703014652997545
Rh,45,76,121,0.420882828285052,0.034702798048241945,0.001204284192377065
Pd,46,46,92,0.6526960275363064,0.054014313382506174,0.0029175460501835856
Pd,46,47,93,0.5702751229287258,0.04743869936607936,0.0022504301975452587
Pd,46,48,94,0.6072441575284429,0.05095800595029587,0.0025967183704303895
Pd,46,49,95,0.6091280293053599,0.05134328402843913,0.0026361328148249725
Pd,46,50,96,0.6541944438373342,0.055541243700039544,0.003084829751747182
Pd,46,51,97,0.49729169827434067,0.042281880033462116,0.0017877573791640824
Pd,46,52,98,0.3315664734887347,0.028295550949488657,0.0008006382035351085
Pd,46,53,99,0.1950402908591177,0.016652409746637176,0.0002773027503698968
Pd,46,54,100,0.0817211758509455,0.006998246176202372,4.8975449542731116e-05
Pd,46,55,101,0.029138791711220406,0.0024945324461960183,6.222692125124691e-06
Pd,46,56,102,0.10800236349291534,0.00926691459051554,8.58757060279098e-05
Pd,46,57,103,0.20335002730309262,0.01742916601970279,0.0003037758281423624
Pd,46,58,104,0.2523779980440064,0.021666268779410913,0.0004694272028216761
Pd,46,59,105,0.3235185978572428,0.02772764961891916,0.0007688225533895478
Pd,46,60,106,0.3401115006853222,0.0291815443114416,0.0008515625284006295
Pd,46,61,107,0.3959300922004867,0.03389515788296649,0.0011488817279112253
Pd,46,62,108,0.37416216111678813,0.032054562515956064,0.0010274949780893355
Pd,46,63,109,0.4008912333222609,0.03425568484018804,0.0011734519438702886
Pd,46,64,110,0.356139961453643,0.030439863013580037,0.0009265852602855179
Pd,46,65,111,0.36349972351917265,0.03097653696199565,0.0009595458421578826
Pd,46,66,112,0.296428750580681,0.025257865318621953,0.0006379597604536456
Pd,46,67,113,0.28424564198561975,0.024139787120914136,0.0005827293222430519
Pd,46,68,114,0.20383114080549689,0.017301198646114457,0.0002993314745923127
Pd,46,69,115,0.17056914715603738,0.014426285093664504,0.00020811770160368665
Pd,46,70,116,0.08639631577252836,0.007299862741470875,5.328799604431468e-05
Pd,46,71,117,0.03637026643856155,0.0030612577938420316,9.371299280358582e-06
Pd,46,72,118,0.05413272267497496,0.0045499742704233626,2.070226586151461e-05
Pd,46,73,119,0.09469539724628628,0.007925019349210416,6.280593168535948e-05
Pd,46,74,120,0.22371903093842838,0.018696382193972738,0.0003495547071431009
Pd,46,75,121,0.2980070120727223,0.024796741496642127,0.0006148783888512936
Pd,46,76,122,0.4278637674315574,0.035538259696242136,0.0012629679022375482
Pd,46,77,123,0.5354946946104865,0.044285581531600116,0.0019612127315920013
Ag,47,49,96,0.8609753647454388,0.07198003990420254,0.00518112614461059
Ag,47,50,97,0.8570102749108456,0.07218779317453361,0.005211077483409241
Ag,47,51,98,0.6971928841299675,0.058854838275752996,0.00346389198846504
Ag,47,52,99,0.4821133310233016,0.04085801715655002,0.0016693775659649358
Ag,47,53,100,0.34795802912532,0.029524220329507855,0.000871679586065325
Ag,47,54,101,0.19266257385721497,0.016400491187692268,0.00026897611119757175
Ag,47,55,102,0.10102178984479426,0.008604192527034371,7.403212904227411e-05
Ag,47,56,103,0.02648040179784313,0.0022608045537015897,5.111237230037845e-06
Ag,47,57,104,0.09364408541547106,0.007993632372622628,6.389815850864046e-05
Ag,47,58,105,0.19652502429861507,0.016803618292321687,0.000282361587714048
Ag,47,59,106,0.22860320304716997,0.019533320043040092,0.0003815505919038318
Ag,47,60,107,0.30132162505358917,0.025774754101318464,0.000664337948983433
Ag,47,61,108,0.329750614944727,0.028167383923239697,0.0007934015170791822
Ag,47,62,109,0.36336255496736153,0.031059924157251118,0.0009647188886541915
