SYMBOL,Z,N,A,EPorc,MAE,MSE,BEA
C,6,11,17,0.682883914154838,0.04478370600586,0.002005580323619,6.5580262
C,6,12,18,0.731619187159112,0.047014815435791,0.002210392870461,6.4261321
C,6,13,19,0.985675652785755,0.060306337188721,0.00363685430512,6.118274
C,6,14,20,0.561465253264597,0.033471389489746,0.001120333914374,5.9614356
C,6,16,22,0.713707498260164,0.038690638745117,0.001496965526505,5.4210778
N,7,3,10,5.70117194076109,0.207732028482056,0.04315259565727,3.6436724
N,7,4,11,1.23694357164949,0.066280412792969,0.004393093120006,5.3584023
N,7,5,12,2.05021231999425,0.126500355377197,0.016002339910557,6.17011
N,7,6,13,0.51775161919203,0.037479332464599,0.001404700361992,7.2388634
N,7,7,14,0.703820553193051,0.052614913439942,0.002768329116293,7.4756148
N,7,8,15,0.097779730001592,0.00752851149292,5.66784852990252E-05,7.6994603
N,7,9,16,2.41589050903548,0.178142864294434,0.031734880099025,7.3737971
N,7,10,17,2.72669782719346,0.198673458734131,0.039471143205383,7.2862294
N,7,11,18,2.78672816502131,0.196145609173584,0.038473099998076,7.0385627
N,7,12,19,2.41760072912738,0.167988079418945,0.028219994826866,6.9485452
N,7,13,20,0.679190567630566,0.045568061352539,0.002076448215429,6.7091717
N,7,14,21,0.407919443352544,0.026959460870361,0.000726812530421,6.6090159
N,7,15,22,2.2732027474869,0.144997026049805,0.021024137563288,6.3785347
N,7,16,23,2.02803968636784,0.126482185296631,0.015997743197411,6.2366721
O,8,3,11,8.47446550382459,0.267999649594116,0.071823812182569,3.1624372
O,8,4,12,0.447016897813788,0.021823255432129,0.000476254477656,4.8819755
O,8,5,13,1.13753378388702,0.066110774389649,0.004370634490399,5.8117636
O,8,6,14,1.84489577112628,0.130107184124756,0.016927879360873,7.0522783
O,8,7,15,0.204469354373906,0.01526096182251,0.000232896955748,7.4636915
O,8,8,16,2.00193996574588,0.1596788796875,0.025497344618255,7.9762072
O,8,9,17,1.46946751887305,0.113894446600342,0.012971944966398,7.7507291
O,8,10,18,1.38321968788363,0.107436030096435,0.011542500562882,7.7670981
O,8,11,19,1.67470974300116,0.126716832318115,0.016057155592737,7.5664952
O,8,12,20,0.663104086470655,0.050187501599121,0.002518785316762,7.5685707
O,8,13,21,0.524075277134068,0.0387258859375,0.001499694241644,7.3893747
O,8,14,22,0.181022982943754,0.013332111346435,0.000177745192954,7.3648722
O,8,15,23,0.392161845063306,0.028092457299804,0.000789186157141,7.1634856
O,8,16,24,0.258936350466475,0.018228304718018,0.000332271092893,7.0396855
O,8,17,25,0.93165520825834,0.062679953137207,0.003928776525282,6.7278058
O,8,18,26,0.826620123483358,0.053709468933105,0.002884707053076,6.497479
F,9,5,14,0.612990429543384,0.032397825964356,0.001049619127217,5.2852091
F,9,6,15,0.18872964674576,0.012262632739258,0.000150372161698,6.4974597
F,9,7,16,1.38280920685923,0.096299510742188,0.009273595769185,6.964049
F,9,8,17,0.493051111252048,0.037187533990479,0.001382912684293,7.5423284
F,9,9,18,1.98577521716596,0.151547182025146,0.022966548379763,7.6316383
F,9,10,19,2.87293419238764,0.2234861024292,0.049946037978995,7.7790192
F,9,11,20,2.47423651693008,0.191014401800537,0.036486501695217,7.7201351
F,9,12,21,1.66126601336986,0.128553638269043,0.016526037912208,7.7382934
F,9,13,22,0.73558946679051,0.056083513879393,0.00314536052906,7.6242954
F,9,14,23,0.194551224074036,0.014829364916992,0.000219910063841,7.6223447
F,9,15,24,0.608386107114423,0.04540740267334,0.002061832217539,7.4635831
F,9,16,25,0.094688460482837,0.006946635681152,4.8255747286658E-05,7.3363065
F,9,17,26,0.977992579216293,0.069263876507568,0.004797484588856,7.0822497
F,9,18,27,2.86240430077471,0.196923861187744,0.03877900710509,6.8796662
F,9,19,28,1.90879457279311,0.126493081036377,0.016000499550075,6.6268567
