SYMBOL,Z,N,A,EPorc,MAE,MSE
Eu,63,74,137,0.5592043371884547,0.045588229311084305,0.002078286651720006
Eu,63,75,138,0.6708253035232523,0.0547765745594706,0.0030004731204692422
Eu,63,76,139,0.48023579731818133,0.03933686202871911,0.0015473887142664834
Eu,63,77,140,0.49418638730697706,0.04052230386918865,0.0016420571108668612
Eu,63,78,141,0.23231100898057183,0.019097626483382868,0.00036471933729880667
Eu,63,79,142,0.2976648460865222,0.024483412435257534,0.0005994374844749233
Eu,63,80,143,0.0896897038526402,0.007391994909163202,5.4641588737094694e-05
Eu,63,81,144,0.2019269666734155,0.016643474684972404,0.00027700524958931724
Eu,63,82,145,0.03581005013939955,0.002956086320770268,8.738446335845101e-06
Eu,63,83,146,0.1982300791184821,0.016357810847122067,0.0002675779757102244
Eu,63,84,147,0.0842021108078125,0.006955786205033121,4.8382961730129066e-05
Eu,63,85,148,0.27906252691785766,0.023035423910370056,0.0005306307547304485
Eu,63,86,149,0.20634836356131944,0.017044484643363944,0.00029051445675786934
Eu,63,87,150,0.4379523067530828,0.03613454937039151,0.0013057056582012616
Eu,63,88,151,0.37767195800896797,0.031169732899709146,0.0009715522490392107
Eu,63,89,152,0.5315798370766597,0.04380800720331912,0.00191914149512606
Eu,63,90,153,0.4656181959484684,0.038369330991017137,0.0014722055606982282
Eu,63,91,154,0.6510555001465537,0.05355543354384551,0.002868184462069253
Eu,63,92,155,0.6178377903083415,0.05080275106356602,0.0025809195156266587
Eu,63,93,156,0.8327140517009118,0.06833045562985873,0.004669051166584093
Eu,63,94,157,0.8300420846002385,0.06806342816122068,0.004632630253057649
Eu,63,95,158,0.9690861342210897,0.07928025615873935,0.006285359016595328
Eu,63,96,159,0.896485969678716,0.07326872554490471,0.005368306142974572
Eu,63,97,160,0.9663330080735397,0.07877388214463998,0.00620532450813763
Eu,63,98,161,0.919687349132665,0.07487789213583618,0.005606698730705917
Eu,63,99,162,1.0124147935322763,0.08219602295989148,0.006756186190423007
Eu,63,100,163,0.9900538798104317,0.08026055295316858,0.006441756360348379
Eu,63,101,164,1.1041944445447371,0.08924277398573466,0.007964272708668918
Eu,63,102,165,1.1044602407728272,0.08911041999370184,0.007940666951453937
Gd,64,76,140,0.47748313086968625,0.038923102529878406,0.0015150079105514269
Gd,64,77,141,0.5451939535695828,0.044505361947503985,0.0019807272420783355
Gd,64,78,142,0.24955853452499013,0.020430805153022646,0.00041741779920077674
Gd,64,79,143,0.2814209937913772,0.02305958129971941,0.0005317442897183692
Gd,64,80,144,0.04139035599115568,0.0033994423332579515,1.1556208177146266e-05
Gd,64,81,145,0.12147983279074638,0.00998123777919524,9.962510760483433e-05
Gd,64,82,146,0.07518546961221877,0.006188845418304112,3.83018076116638e-05
Gd,64,83,147,0.05626594866722798,0.00463127422108478,2.1448700910884436e-05
Gd,64,84,148,0.08703966146026265,0.007174097925405576,5.146768104330859e-05
Gd,64,85,149,0.07782579187733274,0.00641173978412013,4.1110407059268845e-05
Gd,64,86,150,0.023057058092150102,0.0019013723145260286,3.615216678446067e-06
Gd,64,87,151,0.1793152910519808,0.01477474258798317,0.0002182930185411636
Gd,64,88,152,0.11752414382914297,0.009688812583824813,9.387308928448204e-05
Gd,64,89,153,0.3547876169958567,0.029214661959253263,0.0008534964733934397
Gd,64,90,154,0.2753306398298487,0.022676213983229943,0.0005142106806132332
Gd,64,91,155,0.4329815235130898,0.03560698559314268,0.0012678574230302704
Gd,64,92,156,0.3740892571303412,0.030759475582616602,0.000946145338117587
Gd,64,93,157,0.5617580460839315,0.04610774350820179,0.0021259240114181246
Gd,64,94,158,0.5340663147464506,0.04381494407727615,0.0019197493244948365
Gd,64,95,159,0.7498393777405058,0.06138982462119813,0.0037687105670214643
Gd,64,96,160,0.7512430831562871,0.061458962720017496,0.0037772040986205004
Gd,64,97,161,0.9014118636818504,0.07357284916124662,0.0054129641337035475
Gd,64,98,162,0.8314227615950964,0.06779152977489389,0.004595691509220325
Gd,64,99,163,0.8994010233110217,0.07314632029120105,0.005350384172142971
Gd,64,100,164,0.8542637249092717,0.06938741190758435,0.004814612931232779
Gd,64,101,165,0.944178837054186,0.0764771022410482,0.00584874716718774
Gd,64,102,166,0.9221573000399206,0.07458118269042835,0.005562352811503049
Gd,64,103,167,1.0325843023103167,0.08326208854805905,0.006932575389384826
Tb,65,75,140,0.808141375410064,0.06516039352910674,0.0042458768848680556
Tb,65,76,141,0.646823253359466,0.052355166353939,0.0027410634439486263
Tb,65,77,142,0.7434324623227353,0.06028244618831913,0.003633973318447591
Tb,65,78,143,0.6140567265363583,0.04995352741171111,0.002495354900872573
Tb,65,79,144,0.6102230715225097,0.049703169246338774,0.0024704050331301967
Tb,65,80,145,0.3349205126004908,0.027352675427714246,0.0007481688530538828
Tb,65,81,146,0.3811196240637298,0.031148716258581288,0.0009702425245576063
Tb,65,82,147,0.15107260331134242,0.012373776518900925,0.0001531103453397039
Tb,65,83,148,0.2501151895444233,0.02049173161509721,0.0004199110645851744
Tb,65,84,149,0.07513332025561165,0.006165985422477149,3.801937623020071e-05
Tb,65,85,150,0.20885404381168476,0.017137692764046975,0.000293700513274868
Tb,65,86,151,0.07773596880769731,0.0063866468596120995,4.078925810939309e-05
Tb,65,87,152,0.2500918839938498,0.020536293412275697,0.0004217393471150782
Tb,65,88,153,0.1592867903425588,0.013090869979411224,0.00017137087681785002
Tb,65,89,154,0.36744788324848143,0.030171790646438268,0.0009103369508124998
Tb,65,90,155,0.3139421179398826,0.025790473396504865,0.0006651485180158252
Tb,65,91,156,0.49502857517498505,0.0406175070958934,0.0016497818826849509
Tb,65,92,157,0.4089988800267748,0.033562904796967885,0.0011264685784103299
Tb,65,93,158,0.569040397883258,0.046625228282669795,0.0021739119124110713
Tb,65,94,159,0.5151241927591171,0.04219927971048065,0.001780779208083384
Tb,65,95,160,0.7039454555948994,0.05756376858983714,0.003313587454264321
Tb,65,96,161,0.6799415783160754,0.05557347545860836,0.0030884111745485454
Tb,65,97,162,0.8956854791798077,0.07305565884494136,0.005337129289268459
Tb,65,98,163,0.8996113621390279,0.073319310331879,0.005375721267542378
Tb,65,99,164,0.9603774343640255,0.0780909656997757,0.0060981989239235436
Tb,65,100,165,0.8913820727987574,0.07240611431049793,0.005242645389544893
Tb,65,101,166,0.9565269100184759,0.07750042070710883,0.0060063152097788635
Tb,65,102,167,0.9113249433192989,0.07374410767548589,0.0054381934168536575
Tb,65,103,168,0.9975035190690336,0.08049531127748466,0.006479495137659149
Dy,66,77,143,0.6951890687287138,0.05606566216359177,0.0031433584738420053
Dy,66,78,144,0.5624623223728064,0.045524269241219883,0.002072459089947079
Dy,66,79,145,0.680027848080524,0.055126666050984596,0.0030389493098967775
Dy,66,80,146,0.37862372087523816,0.030785460177614965,0.0009477445583475168
Dy,66,81,147,0.3926275490063881,0.03195808100131181,0.001021318941286407
Dy,66,82,148,0.1315796613095945,0.010736439669209119,0.00011527113677056722
Dy,66,83,149,0.199850274610155,0.016316758301599066,0.00026623660147280206
Dy,66,84,150,0.004623622752998718,0.000378243116225363,1.4306785497187345e-07
Dy,66,85,151,0.09939081520505778,0.008132139440176545,6.613169187447489e-05
Dy,66,86,152,0.05995892157032297,0.004913340105735742,2.414091099463131e-05
Dy,66,87,153,0.08361640610582682,0.006850333896698757,4.692707449625998e-05
Dy,66,88,154,0.03432806043239153,0.002815490908821161,7.926989057654607e-06
Dy,66,89,155,0.14591692113586877,0.011960476131367415,0.00014305298928900964
Dy,66,90,156,0.06616266593709078,0.005427180419786737,2.9454287308916542e-05
Dy,66,91,157,0.2804333099830954,0.022981669290697226,0.000528157123386976
Dy,66,92,158,0.236111197397532,0.01935678077516023,0.0003746849619776127
Dy,66,93,159,0.39335146322802644,0.0322071005783755,0.0010372973276655956
Dy,66,94,160,0.3146837852477186,0.025767187219736698,0.0006639479372169623
Dy,66,95,161,0.47754824720566563,0.039042498383880186,0.001524316680055287
Dy,66,96,162,0.42950742966953354,0.03510589570686484,0.0012324239133812713
Dy,66,97,163,0.6198312690937057,0.05056998175439986,0.002557323054640335
Dy,66,98,164,0.6002910639745068,0.04894930897279259,0.0023960348489139136
Dy,66,99,165,0.8164132694081755,0.0664346952767616,0.004413568736516171
Dy,66,100,166,0.823595334813981,0.06696513474562771,0.0044843292715000755
Dy,66,101,167,0.895006220862957,0.07260368990797161,0.005271295788252899
Dy,66,102,168,0.8279462540851585,0.06709295100467827,0.004501464074516159
Dy,66,103,169,0.8909475705744132,0.07201598005685383,0.005186301383549169
Ho,67,77,144,0.9150378403976559,0.07323561965079861,0.00536345598563644
Ho,67,78,145,0.7463440634494549,0.05997038494198215,0.003596447070089519
Ho,67,79,146,0.8290565292321864,0.06674589805214559,0.004455014906787413
Ho,67,80,147,0.7175519908603095,0.057962549179547906,0.0033596571073915096
Ho,67,81,148,0.7418107598271879,0.06000663032518361,0.003600795682983245
Ho,67,82,149,0.44579269899381235,0.0361621541246091,0.001307701390931983
Ho,67,83,150,0.4825949725361549,0.03918366878994206,0.0015353598998398795
Ho,67,84,151,0.24588608804453296,0.02001026665536365,0.0004004107716187584
Ho,67,85,152,0.3186925349475897,0.025947657817846803,0.0006732809462320663
Ho,67,86,153,0.12869962636591994,0.010497822082701447,0.00011020426848005414
Ho,67,87,154,0.24238751014886684,0.01977249373044465,0.00039095150832047307
Ho,67,88,155,0.0952198291293854,0.007778378380249862,6.0503170226338464e-05
Ho,67,89,156,0.24659541508547647,0.020137789132327555,0.0004055305511380898
Ho,67,90,157,0.13885002689548182,0.011350426149546067,0.00012883217377629915
Ho,67,91,158,0.3252135549814804,0.02656735210089245,0.0007058241976527945
Ho,67,92,159,0.2539348908620071,0.0207578840876792,0.0004308897517975254
Ho,67,93,160,0.4728671186716971,0.03861648928616823,0.001491233244788746
Ho,67,94,161,0.38549554151668713,0.031491056853074184,0.0009916866617235506
Ho,67,95,162,0.5218471137723517,0.042574915041118544,0.001812623390758462
Ho,67,96,163,0.4485251530724336,0.03659274679021607,0.0013390291176528684
Ho,67,97,164,0.6130255153080063,0.049935362366639424,0.0024935404146875888
Ho,67,98,165,0.5690169781885847,0.046336740403509324,0.0021470935112222135
Ho,67,99,166,0.7598809995534405,0.061766701695297854,0.003815125438315911
Ho,67,100,167,0.7432708449619266,0.06038206449357375,0.0036459937125061
Ho,67,101,168,0.9589771149419745,0.07774497754532916,0.006044281533523736
Ho,67,102,169,0.909750455462204,0.07369323512414638,0.005430692903062722
Ho,67,103,170,0.9489979881479484,0.07669647598269336,0.005882349428163859
Ho,67,104,171,0.8824188150280126,0.07123975505020042,0.005075102699612555
Er,68,78,146,0.7440348465816986,0.059427477092167,0.003531625033540034
Er,68,79,147,0.794320677042017,0.06358893276259536,0.004043552369885874
Er,68,80,148,0.6498246515532374,0.05221286959974947,0.002726183751840442
Er,68,81,149,0.7537292016058401,0.06066677250088226,0.003680457285673804
Er,68,82,150,0.5043027166245528,0.04071715291841649,0.0016578865417817123
Er,68,83,151,0.5115035536970579,0.041349641786425195,0.0017097928758656807
Er,68,84,152,0.24410890050785528,0.019784841565863687,0.00039143995578632746
Er,68,85,153,0.2897010367861496,0.023498323245915387,0.0005521711953695275
Er,68,86,154,0.0704756357079005,0.005728557040891147,3.281636577074353e-05
Er,68,87,155,0.15806996246633326,0.012853173673422091,0.00016520407347915073
Er,68,88,156,0.01708811515903767,0.001391824358186966,1.93717504404256e-06
Er,68,89,157,0.10915848548535306,0.00889065669675837,7.904377649961445e-05
Er,68,90,158,0.02549469130532372,0.002079120969382231,4.322744005324908e-06
Er,68,91,159,0.13653659911894306,0.011130362538191108,0.000123884970231568
