EL,N,Z,A,BEA
Ca,30,20,50,8.5501639
Ca,31,20,51,8.4769135
Ca,32,20,52,8.4293821
Ca,33,20,53,8.3305778
Ca,34,20,54,8.2474967
Ca,35,20,55,8.125926
Ca,36,20,56,8.0331654
Sc,18,21,39,8.0134575
Sc,19,21,40,8.1736697
Sc,20,21,41,8.3691979
Sc,21,21,42,8.4449303
Sc,22,21,43,8.5308265
Sc,23,21,44,8.5573805
Sc,24,21,45,8.618941
Sc,25,21,46,8.6220215
Sc,26,21,47,8.6650958
Sc,27,21,48,8.6562097
Sc,28,21,49,8.6862805
Sc,29,21,50,8.6334747
Sc,30,21,51,8.5972213
Sc,31,21,52,8.5346695
Sc,32,21,53,8.4928325
Sc,33,21,54,8.4048115
Sc,34,21,55,8.3333694
Sc,35,21,56,8.2335781
Sc,36,21,57,8.1581666
Sc,37,21,58,8.0549436
Sc,38,21,59,7.9764073
Ti,18,22,40,7.8658632
Ti,19,22,41,8.0343889
Ti,20,22,42,8.25924
Ti,21,22,43,8.3528054
Ti,22,22,44,8.5335215
Ti,23,22,45,8.5557321
Ti,24,22,46,8.6564623
Ti,25,22,47,8.6612325
Ti,26,22,48,8.7230122
Ti,27,22,49,8.7111625
Ti,28,22,50,8.7557227
Ti,29,22,51,8.7089912
Ti,30,22,52,8.6918193
Ti,31,22,53,8.6311256
Ti,32,22,54,8.5996917
Ti,33,22,55,8.5189696
Ti,34,22,56,8.4679495
Ti,35,22,57,8.3729008
Ti,36,22,58,8.307629
Ti,38,22,60,8.1527858
V,20,23,43,8.0695129
V,21,23,44,8.2034567
V,22,23,45,8.3800394
V,23,23,46,8.4861423
V,24,23,47,8.5822348
V,25,23,48,8.6230686
V,26,23,49,8.6829135
V,27,23,50,8.6959032
V,28,23,51,8.7420852
V,29,23,52,8.714569
V,30,23,53,8.7101425
V,31,23,54,8.6621382
V,32,23,55,8.6373391
V,33,23,56,8.5747006
V,34,23,57,8.5351967
V,35,23,58,8.458156
V,36,23,59,8.4038034
V,37,23,60,8.3228751
V,38,23,61,8.2710417
V,39,23,62,8.1877565
V,40,23,63,8.1307809
Cr,20,24,44,7.9496265
Cr,21,24,45,8.0877286
Cr,22,24,46,8.3038233
Cr,23,24,47,8.4072067
Cr,24,24,48,8.5722553
Cr,25,24,49,8.6132777
Cr,26,24,50,8.7010188
Cr,27,24,51,8.7119923
Cr,28,24,52,8.7759946
Cr,29,24,53,8.7602103
Cr,30,24,54,8.7779672
Cr,31,24,55,8.7319362
Cr,32,24,56,8.7232609
Cr,33,24,57,8.6633998
Cr,34,24,58,8.6439987
Cr,35,24,59,8.5685995
Cr,36,24,60,8.5401876
Cr,37,24,61,8.4601734
Cr,38,24,62,8.4273871
Cr,39,24,63,8.3475398
Cr,40,24,64,8.3035626
Mn,21,25,46,7.9160805
Mn,22,25,47,8.1353117
Mn,23,25,48,8.2741924
Mn,24,25,49,8.439915
Mn,25,25,50,8.5326823
Mn,26,25,51,8.6337602
Mn,27,25,52,8.6704087
Mn,28,25,53,8.7341798
Mn,29,25,54,8.7379768
Mn,30,25,55,8.7650247
Mn,31,25,56,8.7383358
Mn,32,25,57,8.7367146
Mn,33,25,58,8.6966438
Mn,34,25,59,8.6809224
Mn,35,25,60,8.6281392
Mn,36,25,61,8.5989157
Mn,37,25,62,8.5385002
Mn,38,25,63,8.505102
Mn,39,25,64,8.4374175
Mn,40,25,65,8.4006822
Mn,41,25,66,8.3317986
Fe,22,26,48,8.0227254
Fe,23,26,49,8.1613121
Fe,24,26,50,8.3540268
Fe,25,26,51,8.4604977
Fe,26,26,52,8.6096079
Fe,27,26,53,8.6487985
Fe,28,26,54,8.7363846
Fe,29,26,55,8.7465981
Fe,30,26,56,8.7903563
Fe,31,26,57,8.7702829
Fe,32,26,58,8.7922534
Fe,33,26,59,8.7547746
Fe,34,26,60,8.7558539
Fe,35,26,61,8.7037686
Fe,36,26,62,8.6928831
Fe,37,26,63,8.6315499
Fe,38,26,64,8.6123888
Fe,39,26,65,8.546347
Fe,40,26,66,8.5217245
Fe,41,26,67,8.4499359
Co,23,27,50,8.0006387
Co,24,27,51,8.1932549
Co,25,27,52,8.3255606
Co,26,27,53,8.4776578
Co,27,27,54,8.5692199
Co,28,27,55,8.6696204
Co,29,27,56,8.6948386
Co,30,27,57,8.7418845
Co,31,27,58,8.7389719
Co,32,27,59,8.7680379
Co,33,27,60,8.7467692
Co,34,27,61,8.756151
Co,35,27,62,8.7213347
Co,36,27,63,8.7177972
Co,37,27,64,8.6755223
Co,38,27,65,8.6568848
Co,39,27,66,8.6059419
Co,40,27,67,8.5817422
Co,41,27,68,8.5201301
Co,42,27,69,8.4954062
Co,43,27,70,8.434198
Co,44,27,71,8.3987344
Ni,24,28,52,8.0838977
Ni,25,28,53,8.2170749
Ni,26,28,54,8.3930328
Ni,27,28,55,8.4973225
Ni,28,28,56,8.6427811
Ni,29,28,57,8.6709364
Ni,30,28,58,8.7320621
Ni,31,28,59,8.7365912
Ni,32,28,60,8.7807769
Ni,33,28,61,8.7650281
Ni,34,28,62,8.7945555
Ni,35,28,63,8.7634955
Ni,36,28,64,8.7774637
Ni,37,28,65,8.7362424
Ni,38,28,66,8.7395086
Ni,39,28,67,8.6957505
Ni,40,28,68,8.6824667
Ni,41,28,69,8.6230998
Ni,42,28,70,8.6042917
Ni,43,28,71,8.5431564
Ni,44,28,72,8.5202118
Ni,45,28,73,8.4576529
Cu,26,29,55,8.233997
