EL,N,Z,A,BEA
W,116,74,190,7.9475031
W,117,74,191,7.9314359
Re,86,75,161,7.8363292
Re,88,75,163,7.8708655
Re,89,75,164,7.8810523
Re,90,75,165,7.9015201
Re,91,75,166,7.9096392
Re,93,75,168,7.9351208
Re,94,75,169,7.9513963
Re,95,75,170,7.955012
Re,96,75,171,7.9694131
Re,97,75,172,7.971846
Re,98,75,173,7.9839068
Re,99,75,174,7.9850944
Re,100,75,175,7.9948168
Re,101,75,176,7.9939707
Re,102,75,177,8.0012229
Re,103,75,178,7.9981576
Re,104,75,179,8.0037666
Re,105,75,180,7.9999922
Re,106,75,181,8.0041434
Re,107,75,182,7.9986264
Re,108,75,183,8.0010101
Re,109,75,184,7.9927517
Re,110,75,185,7.9910101
Re,111,75,186,7.9812713
Re,112,75,187,7.9779519
Re,113,75,188,7.9667481
Re,114,75,189,7.9618105
Re,115,75,190,7.9497759
Re,116,75,191,7.9439588
Re,117,75,192,7.9302389
Re,118,75,193,7.9239378
Os,88,76,164,7.833308
Os,90,76,166,7.8663371
Os,91,76,167,7.8739557
Os,92,76,168,7.8959408
Os,93,76,169,7.9012862
Os,94,76,170,7.9211258
Os,95,76,171,7.9241769
Os,96,76,172,7.9421626
Os,97,76,173,7.9440341
Os,98,76,174,7.9594618
Os,99,76,175,7.9607294
Os,100,76,176,7.9728681
Os,101,76,177,7.9724371
Os,102,76,178,7.9819128
Os,103,76,179,7.9794844
Os,104,76,180,7.9874171
Os,105,76,181,7.9834263
Os,106,76,182,7.9897287
Os,107,76,183,7.9850087
Os,108,76,184,7.9886778
Os,109,76,185,7.9813047
Os,110,76,186,7.9828324
Os,111,76,187,7.9737814
Os,112,76,188,7.9738656
Os,113,76,189,7.9630029
Os,114,76,190,7.9621047
Os,115,76,191,7.9505687
Os,116,76,192,7.948526
Os,117,76,193,7.9362716
Os,118,76,194,7.9320232
Os,119,76,195,7.9177449
Os,120,76,196,7.9122301
Ir,90,77,167,7.8128254
Ir,91,77,168,7.8238509
Ir,92,77,169,7.8455944
Ir,94,77,171,7.8734895
Ir,95,77,172,7.8802637
Ir,96,77,173,7.898068
Ir,97,77,174,7.9020377
Ir,98,77,175,7.9179112
Ir,99,77,176,7.9215522
Ir,100,77,177,7.9346328
Ir,101,77,178,7.936563
Ir,102,77,179,7.9475248
Ir,103,77,180,7.9476337
Ir,104,77,181,7.9565242
Ir,105,77,182,7.9548948
Ir,106,77,183,7.9618176
Ir,107,77,184,7.9591992
Ir,108,77,185,7.9637226
Ir,109,77,186,7.9580473
Ir,110,77,187,7.9606692
Ir,111,77,188,7.9548512
Ir,112,77,189,7.9560214
Ir,113,77,190,7.9477017
Ir,114,77,191,7.9481144
Ir,115,77,192,7.9389999
Ir,116,77,193,7.9381346
Ir,117,77,194,7.9284885
Ir,118,77,195,7.924916
Ir,119,77,196,7.9141487
Ir,120,77,197,7.9090003
Ir,122,77,199,7.8912066
Pt,90,78,168,7.7736217
Pt,92,78,170,7.8082365
Pt,93,78,171,7.8166017
Pt,94,78,172,7.839246
Pt,95,78,173,7.8453856
Pt,96,78,174,7.8661143
Pt,97,78,175,7.8695216
Pt,98,78,176,7.8889934
Pt,99,78,177,7.8924896
Pt,100,78,178,7.908253
Pt,101,78,179,7.9106759
Pt,102,78,180,7.9235781
Pt,103,78,181,7.9241271
Pt,104,78,182,7.9347541
Pt,105,78,183,7.9333406
Pt,106,78,184,7.9425649
Pt,107,78,185,7.9397779
Pt,108,78,186,7.9468094
Pt,109,78,187,7.9411699
Pt,110,78,188,7.9479027
Pt,111,78,189,7.9414045
Pt,112,78,190,7.9464941
Pt,113,78,191,7.9387279
Pt,114,78,192,7.9424923
Pt,115,78,193,7.9337875
Pt,116,78,194,7.935942
Pt,117,78,195,7.926553
Pt,118,78,196,7.9265297
Pt,119,78,197,7.9159714
Pt,120,78,198,7.9141512
Pt,121,78,199,7.9023011
Pt,122,78,200,7.8991986
Pt,123,78,201,7.8858337
Pt,124,78,202,7.8815609
Au,92,79,171,7.7541069
Au,93,79,172,7.7661587
Au,94,79,173,7.7882348
Au,96,79,175,7.8175939
Au,97,79,176,7.8253837
Au,98,79,177,7.8438623
Au,99,79,178,7.8493946
Au,100,79,179,7.8656374
Au,101,79,180,7.8703194
Au,102,79,181,7.8838359
Au,103,79,182,7.8872442
Au,104,79,183,7.8985644
Au,105,79,184,7.9001947
Au,106,79,185,7.909441
Au,107,79,186,7.9095409
Au,108,79,187,7.9174323
Au,109,79,188,7.9147537
Au,110,79,189,7.9219876
Au,111,79,190,7.9188345
Au,112,79,191,7.9246819
Au,113,79,192,7.9201033
Au,114,79,193,7.9241648
Au,115,79,194,7.9187744
Au,116,79,195,7.9213778
Au,117,79,196,7.9148553
Au,118,79,197,7.9156548
Au,119,79,198,7.9085675
Au,120,79,199,7.9069379
Au,121,79,200,7.8984915
Au,122,79,201,7.8951752
Au,123,79,202,7.88591
Au,124,79,203,7.880865
Hg,92,80,172,7.7136064
Hg,94,80,174,7.7497851
Hg,95,80,175,7.7592134
Hg,96,80,176,7.782664
Hg,97,80,177,7.7898947
Hg,98,80,178,7.8113607
Hg,99,80,179,7.8162631
Hg,100,80,180,7.8361111
Hg,101,80,181,7.8396792
Hg,102,80,182,7.8569726
Hg,103,80,183,7.8593885
Hg,104,80,184,7.8743454
Hg,105,80,185,7.8745391
Hg,106,80,186,7.8882605
Hg,107,80,187,7.8869905
Hg,108,80,188,7.899034
Hg,109,80,189,7.8969192
Hg,110,80,190,7.9070174
Hg,111,80,191,7.9038002
Hg,112,80,192,7.9120666
Hg,113,80,193,7.907973
Hg,114,80,194,7.9145974
Hg,115,80,195,7.909398
Hg,116,80,196,7.91437
Hg,117,80,197,7.9086402
Hg,118,80,198,7.9115532
Hg,119,80,199,7.9052794
Hg,120,80,200,7.9058956
Hg,121,80,201,7.8975607
Hg,122,80,202,7.8968505
Hg,123,80,203,7.8874828
Hg,124,80,204,7.8855455
Hg,125,80,205,7.8747325
Hg,126,80,206,7.8691723
Hg,127,80,207,7.8486112
Hg,128,80,208,7.8341914
Tl,95,81,176,7.7079383
Tl,96,81,177,7.7321655
Tl,98,81,179,7.7634942
Tl,99,81,180,7.771431
Tl,100,81,181,7.7919183
Tl,101,81,182,7.7963571
Tl,102,81,183,7.8156741
Tl,103,81,184,7.8186727
Tl,104,81,185,7.8355756
Tl,105,81,186,7.8375161
Tl,106,81,187,7.852465
Tl,107,81,188,7.8530537
Tl,108,81,189,7.8662704
Tl,109,81,190,7.8660345
Tl,110,81,191,7.8771445
Tl,111,81,192,7.8760167
Tl,112,81,193,7.8853445
Tl,113,81,194,7.8835211
Tl,114,81,195,7.8907293
Tl,115,81,196,7.88829
Tl,116,81,197,7.8935725
Tl,117,81,198,7.8903011
Tl,118,81,199,7.8938773
Tl,119,81,200,7.8897037
Tl,120,81,201,7.8912717
Tl,121,81,202,7.8862206
Tl,122,81,203,7.886053
Tl,123,81,204,7.8800238
Tl,124,81,205,7.8783946
Tl,125,81,206,7.8717219
Tl,126,81,207,7.8667979
Tl,127,81,208,7.8471835
Tl,128,81,209,7.8333979
Tl,129,81,210,7.813589
Tl,130,81,211,7.7997915
Tl,132,81,213,7.7654311
Pb,96,82,178,7.6908359
Pb,97,82,179,7.701463
Pb,98,82,180,7.7256993
Pb,99,82,181,7.7340704
Pb,100,82,182,7.7563296
Pb,101,82,183,7.762179
Pb,102,82,184,7.7827264
Pb,103,82,185,7.786933
Pb,104,82,186,7.805342
Pb,105,82,187,7.808401
Pb,106,82,188,7.8248211
Pb,107,82,189,7.8262999
Pb,108,82,190,7.8411294
Pb,109,82,191,7.8416782
Pb,110,82,192,7.8546482
Pb,111,82,193,7.8540994
Pb,112,82,194,7.8654181
Pb,113,82,195,7.8640647
Pb,114,82,196,7.8733374
Pb,115,82,197,7.8712822
Pb,116,82,198,7.8789695
Pb,117,82,199,7.8757366
Pb,118,82,200,7.8818101
Pb,119,82,201,7.8778782
Pb,120,82,202,7.8821505
Pb,121,82,203,7.877397
Pb,122,82,204,7.8799326
Pb,123,82,205,7.8743313
Pb,124,82,206,7.875362
Pb,125,82,207,7.8698664
Pb,126,82,208,7.867453
Pb,127,82,209,7.8486488
Pb,128,82,210,7.8359656
Pb,129,82,211,7.8170079
Pb,130,82,212,7.8043203
Pb,131,82,213,7.7851732
Pb,132,82,214,7.7723955
Pb,133,82,215,7.7527381
Bi,103,83,186,7.7391175
Bi,104,83,187,7.7582083
Bi,105,83,188,7.7641904
Bi,106,83,189,7.7809999
Bi,107,83,190,7.7853239
Bi,108,83,191,7.8006613
Bi,109,83,192,7.8036084
Bi,110,83,193,7.8171718
Bi,111,83,194,7.8191955
Bi,112,83,195,7.8307579
Bi,113,83,196,7.8319009
Bi,114,83,197,7.8416348
Bi,115,83,198,7.8412123
Bi,116,83,199,7.8495232
Bi,117,83,200,7.8484969
Bi,118,83,201,7.8548713
Bi,119,83,202,7.8525857
Bi,120,83,203,7.8574762
Bi,121,83,204,7.8542157
Bi,122,83,205,7.8573218
Bi,123,83,206,7.8533249
Bi,124,83,207,7.8545053
Bi,125,83,208,7.8498534
Bi,126,83,209,7.8479869
Bi,127,83,210,7.8325424
Bi,128,83,211,7.8197745
Bi,129,83,212,7.803314
Bi,130,83,213,7.7910217
Bi,131,83,214,7.7734955
Bi,132,83,215,7.7617177
Bi,133,83,216,7.7434996
Bi,134,83,217,7.7318491
Bi,135,83,218,7.712828
Po,102,84,186,7.6959488
Po,103,84,187,7.7047889
Po,104,84,188,7.7246544
Po,105,84,189,7.7311321
Po,106,84,190,7.7494526
Po,107,84,191,7.7537871
Po,108,84,192,7.7710542
Po,109,84,193,7.773951
Po,110,84,194,7.7892947
Po,111,84,195,7.7913155
Po,112,84,196,7.8047445
Po,113,84,197,7.8057136
Po,114,84,198,7.8175611
Po,115,84,199,7.8176582
Po,116,84,200,7.8274407
Po,117,84,201,7.8265619
Po,118,84,202,7.8348053
Po,119,84,203,7.8328632
Po,120,84,204,7.8390823
Po,121,84,205,7.8362168
Po,122,84,206,7.8405973
Po,123,84,207,7.8366734
Po,124,84,208,7.8393568
Po,125,84,209,7.8351882
Po,126,84,210,7.8343462
Po,127,84,211,7.8187842
Po,128,84,212,7.8102438
Po,129,84,213,7.794024
Po,130,84,214,7.7851163
Po,131,84,215,7.7681768
Po,132,84,216,7.7588205
Po,133,84,217,7.7413614
Po,134,84,218,7.73153
Po,135,84,219,7.713334
Po,136,84,220,7.7032244
Po,137,84,221,7.6844814
Po,138,84,222,7.6740054
At,106,85,191,7.7029233
At,107,85,192,7.7097283
At,108,85,193,7.7271099
At,109,85,194,7.7322304
At,110,85,195,7.7480914
At,111,85,196,7.7520001
At,112,85,197,7.7660174
At,113,85,198,7.7693446
At,114,85,199,7.7814883
At,115,85,200,7.7837601
At,116,85,201,7.7941536
At,117,85,202,7.7945637
At,118,85,203,7.8036487
At,119,85,204,7.8035522
At,120,85,205,7.8102694
At,121,85,206,7.8088904
At,122,85,207,7.8139653
At,123,85,208,7.8115604
At,124,85,209,7.8147835
At,125,85,210,7.8116638
At,126,85,211,7.8113545
At,127,85,212,7.79834
At,128,85,213,7.7900036
At,129,85,214,7.7763632
At,130,85,215,7.7678627
At,131,85,216,7.7530024
At,132,85,217,7.7446172
At,133,85,218,7.7291175
At,134,85,219,7.720197
At,135,85,220,7.7037033
At,136,85,221,7.6944754
At,137,85,222,7.6773878
At,138,85,223,7.6680557
At,139,85,224,7.6507354
Rn,107,86,193,7.675853
Rn,108,86,194,7.6949961
Rn,109,86,195,7.7003841
Rn,110,86,196,7.717966
Rn,111,86,197,7.722119
Rn,112,86,198,7.7377245
Rn,113,86,199,7.7410568
Rn,114,86,200,7.7549111
Rn,115,86,201,7.7570174
Rn,116,86,202,7.7693018
Rn,117,86,203,7.7703437
Rn,118,86,204,7.7805743
Rn,119,86,205,7.7807226
Rn,120,86,206,7.7890417
Rn,121,86,207,7.7879987
Rn,122,86,208,7.7942678
Rn,123,86,209,7.7921755
Rn,124,86,210,7.7966653
Rn,125,86,211,7.7939412
Rn,126,86,212,7.7947963
Rn,127,86,213,7.7821824
Rn,128,86,214,7.7771023
Rn,129,86,215,7.7638164
Rn,130,86,216,7.7586553
Rn,131,86,217,7.7444037
Rn,132,86,218,7.7387527
Rn,133,86,219,7.7237784
Rn,134,86,220,7.7172552
Rn,135,86,221,7.7013941
Rn,136,86,222,7.6944991
Rn,137,86,223,7.678172
Rn,138,86,224,7.6707514
Rn,139,86,225,7.6543581
Rn,140,86,226,7.6464108
Rn,141,86,227,7.6300508
Rn,142,86,228,7.6216457
Rn,143,86,229,7.6056227
Fr,110,87,197,7.673764
Fr,111,87,198,7.6791873
Fr,112,87,199,7.6952599
Fr,113,87,200,7.7003292
Fr,114,87,201,7.7148367
Fr,115,87,202,7.7190125
Fr,116,87,203,7.7317092
Fr,117,87,204,7.7346931
Fr,118,87,205,7.745687
Fr,119,87,206,7.7469621
Fr,120,87,207,7.7562689
Fr,121,87,208,7.7568985
Fr,122,87,209,7.7637485
Fr,123,87,210,7.7631243
Fr,124,87,211,7.7683613
Fr,125,87,212,7.7668455
Fr,126,87,213,7.7684543
Fr,127,87,214,7.7577393
Fr,128,87,215,7.7532607
Fr,129,87,216,7.7424513
Fr,130,87,217,7.737775
Fr,131,87,218,7.7267143
Fr,132,87,219,7.7211759
Fr,133,87,220,7.709743
Fr,134,87,221,7.7032572
Fr,135,87,222,7.6909474
Fr,136,87,223,7.6836655
Fr,137,87,224,7.670368
Fr,138,87,225,7.6629412
Fr,139,87,226,7.6483768
Fr,140,87,227,7.6407162
Fr,141,87,228,7.6263689
Fr,142,87,229,7.618338
Fr,143,87,230,7.6037052
Fr,144,87,231,7.5945009
Fr,145,87,232,7.5793481
Fr,146,87,233,7.5692398
Ra,113,88,201,7.6694108
Ra,114,88,202,7.6855684
Ra,115,88,203,7.6898015
Ra,116,88,204,7.7041238
Ra,117,88,205,7.7071698
Ra,118,88,206,7.7198028
Ra,119,88,207,7.7217503
Ra,120,88,208,7.7320177
Ra,121,88,209,7.7330177
Ra,122,88,210,7.7413687
Ra,123,88,211,7.7410887
Ra,124,88,212,7.7475078
Ra,125,88,213,7.7464726
Ra,126,88,214,7.7491719
Ra,127,88,215,7.7393249
Ra,128,88,216,7.7373458
Ra,129,88,217,7.7269122
Ra,130,88,218,7.7250241
Ra,131,88,219,7.714056
Ra,132,88,220,7.7116879
Ra,133,88,221,7.7011352
Ra,134,88,222,7.6966931
Ra,135,88,223,7.6853101
Ra,136,88,224,7.6799236
Ra,137,88,225,7.6675866
Ra,138,88,226,7.6619636
Ra,139,88,227,7.6483048
Ra,140,88,228,7.6424289
Ra,141,88,229,7.6284862
Ra,142,88,230,7.6219144
Ra,143,88,231,7.6078418
Ra,144,88,232,7.6000099
Ra,145,88,233,7.5855644
Ra,146,88,234,7.5765439
Ac,116,89,205,7.6628519
Ac,117,89,206,7.6678538
Ac,118,89,207,7.6811001
Ac,119,89,208,7.6848289
Ac,120,89,209,7.6958455
Ac,121,89,210,7.6980182
Ac,122,89,211,7.707468
Ac,123,89,212,7.7084479
Ac,124,89,213,7.7155908
Ac,125,89,214,7.7158874
Ac,126,89,215,7.7194137
Ac,127,89,216,7.7112319
Ac,128,89,217,7.7103448
Ac,129,89,218,7.702145
Ac,130,89,219,7.7005489
Ac,131,89,220,7.6923515
Ac,132,89,221,7.6905039
Ac,133,89,222,7.6828015
Ac,134,89,223,7.6791479
Ac,135,89,224,7.6701438
Ac,136,89,225,7.6656906
Ac,137,89,226,7.6556628
Ac,138,89,227,7.6507084
Ac,139,89,228,7.6391973
Ac,140,89,229,7.6332446
Ac,141,89,230,7.6214604
Ac,142,89,231,7.6150768
Ac,143,89,232,7.6024245
Ac,144,89,233,7.5951939
Ac,145,89,234,7.5821297
Ac,146,89,235,7.5735051
Ac,147,89,236,7.5592423
Th,118,90,208,7.6525716
Th,120,90,210,7.6690764
Th,121,90,211,7.6718506
Th,122,90,212,7.6820628
Th,123,90,213,7.683847
Th,124,90,214,7.6923173
Th,125,90,215,7.6930266
Th,126,90,216,7.6976617
Th,127,90,217,7.6905945
Th,128,90,218,7.6916026
Th,129,90,219,7.6837655
Th,130,90,220,7.6844964
Th,131,90,221,7.676064
Th,132,90,222,7.6766592
Th,133,90,223,7.6686426
Th,134,90,224,7.6677162
Th,135,90,225,7.6592229
Th,136,90,226,7.6571195
Th,137,90,227,7.6474591
Th,138,90,228,7.6450807
Th,139,90,229,7.634651
Th,140,90,230,7.6309974
Th,141,90,231,7.6201188
Th,142,90,232,7.6150338
Th,143,90,233,7.6028937
Th,144,90,234,7.5968557
Th,145,90,235,7.5843862
Th,146,90,236,7.5769688
Th,147,90,237,7.5634433
Pa,120,91,211,7.6293948
Pa,121,91,212,7.6336289
Pa,122,91,213,7.6448027
Pa,123,91,214,7.6477037
Pa,124,91,215,7.6573733
Pa,125,91,216,7.6592006
Pa,126,91,217,7.6646438
Pa,127,91,218,7.6591935
Pa,128,91,219,7.6613783
Pa,129,91,220,7.6555364
Pa,130,91,221,7.6569809
Pa,131,91,222,7.6512373
Pa,132,91,223,7.6518957
Pa,133,91,224,7.6469612
Pa,134,91,225,7.6466504
Pa,135,91,226,7.6411093
Pa,136,91,227,7.6394945
Pa,137,91,228,7.6322076
Pa,138,91,229,7.6298752
Pa,139,91,230,7.6218958
Pa,140,91,231,7.6184267
Pa,141,91,232,7.6095072
Pa,142,91,233,7.6048675
Pa,143,91,234,7.5946837
Pa,144,91,235,7.5884139
Pa,145,91,236,7.5775573
Pa,146,91,237,7.5703847
Pa,147,91,238,7.5583449
U,123,92,215,7.6207821
U,124,92,216,7.6313072
U,126,92,218,7.6407191
U,127,92,219,7.6362867
U,129,92,221,7.6346849
U,130,92,222,7.6377651
U,131,92,223,7.6317611
U,132,92,224,7.6350742
U,133,92,225,7.6297717
U,134,92,226,7.6319166
U,135,92,227,7.6262918
U,136,92,228,7.6274763
U,137,92,229,7.6207218
U,138,92,230,7.6209227
U,139,92,231,7.6133879
U,140,92,232,7.6118984
U,141,92,233,7.6039574
U,142,92,234,7.600716
U,143,92,235,7.5909151
U,144,92,236,7.5864854
U,145,92,237,7.5761026
U,146,92,238,7.5701262
U,147,92,239,7.5585624
U,148,92,240,7.5517705
Np,126,93,219,7.6046732
Np,127,93,220,7.6020758
Np,129,93,222,7.6027013
Np,130,93,223,7.6075654
Np,131,93,224,7.6035032
Np,132,93,225,7.6074231
Np,133,93,226,7.6041714
Np,134,93,227,7.6072771
Np,136,93,229,7.6059921
Np,137,93,230,7.6017751
Np,138,93,231,7.6021321
Np,140,93,233,7.5961816
Np,141,93,234,7.5896382
Np,142,93,235,7.5870571
Np,143,93,236,7.5792148
Np,144,93,237,7.5749895
Np,145,93,238,7.566222
Np,146,93,239,7.560568
Np,147,93,240,7.5501743
Np,148,93,241,7.5440426
Np,149,93,242,7.5334042
Pu,134,94,228,7.5904039
Pu,135,94,229,7.5868834
Pu,136,94,230,7.5910016
Pu,137,94,231,7.5871224
Pu,138,94,232,7.5889839
Pu,139,94,233,7.5837968
Pu,140,94,234,7.5846061
Pu,141,94,235,7.5788799
Pu,142,94,236,7.5779192
Pu,143,94,237,7.5707599
Pu,144,94,238,7.5683611
Pu,145,94,239,7.5603187
Pu,146,94,240,7.5560433
Pu,147,94,241,7.5464395
Pu,148,94,242,7.5413284
Pu,149,94,243,7.5310087
Pu,150,94,244,7.5248154
Pu,151,94,245,7.5132822
Pu,152,94,246,7.5065401
Am,134,95,229,7.5625697
Am,140,95,235,7.5651582
Am,143,95,238,7.5555853
Am,144,95,239,7.5536891
Am,145,95,240,7.5470136
Am,146,95,241,7.5432795
Am,147,95,242,7.5349917
Am,148,95,243,7.5301742
Am,149,95,244,7.5213095
Am,150,95,245,7.5153043
Cm,137,96,233,7.546002
Cm,138,96,234,7.5506868
Cm,140,96,236,7.550309
Cm,141,96,237,7.5466241
Cm,142,96,238,7.5479966
Cm,143,96,239,7.5430659
Cm,144,96,240,7.5428617
Cm,145,96,241,7.5368488
Cm,146,96,242,7.534504
Cm,147,96,243,7.5269261
Cm,148,96,244,7.5239527
Cm,149,96,245,7.5157677
Cm,150,96,246,7.5114716
Cm,151,96,247,7.5019318
Cm,152,96,248,7.4967291
Cm,153,96,249,7.485551
Cm,154,96,250,7.4789385
Cm,155,96,251,7.4667233
Bk,146,97,243,7.5175021
Bk,147,97,244,7.5114759
Bk,148,97,245,7.5092714
Bk,149,97,246,7.5028035
Bk,150,97,247,7.4989408
Bk,151,97,248,7.4905975
Bk,152,97,249,7.486041
Bk,153,97,250,7.4759594
Bk,154,97,251,7.4692637
Cf,139,98,237,7.5033507
Cf,142,98,240,7.51024
Cf,144,98,242,7.5090991
Cf,146,98,244,7.5051373
Cf,147,98,245,7.4996644
Cf,148,98,246,7.499122
Cf,149,98,247,7.4932638
Cf,150,98,248,7.491044
Cf,151,98,249,7.4833954
Cf,152,98,250,7.4799567
Cf,153,98,251,7.4705014
Cf,154,98,252,7.4653474
Cf,155,98,253,7.4548297
Cf,156,98,254,7.4492259
Es,147,99,246,7.4807849
Es,148,99,247,7.4801005
Es,152,99,251,7.4658842
Es,153,99,252,7.4572428
Es,154,99,253,7.4528879
Es,155,99,254,7.4435759
Es,156,99,255,7.4378216
Fm,146,100,246,7.4679608
Fm,148,100,248,7.4659451
Fm,149,100,249,7.4618649
Fm,150,100,250,7.4620905
Fm,151,100,251,7.4570013
Fm,152,100,252,7.4560351
Fm,153,100,253,7.4484712
Fm,154,100,254,7.4447936
Fm,155,100,255,7.435886
Fm,156,100,256,7.4317888
Fm,157,100,257,7.4221942
Md,148,101,249,7.4440169
Md,149,101,250,7.4416533
Md,150,101,251,7.4419005
Md,151,101,252,7.4384444
Md,154,101,255,7.4287333
Md,156,101,257,7.4175845
Md,157,101,258,7.4096615
No,150,102,252,7.4257992
No,151,102,253,7.4224719
No,152,102,254,7.4235909
No,153,102,255,7.4179403
No,154,102,256,7.4165429
No,155,102,257,7.4096587
No,157,102,259,7.3999714
Lr,150,103,253,7.402918
Lr,151,103,254,7.4011306
Lr,152,103,255,7.4025767
Lr,153,103,256,7.3981605
Rf,152,104,256,7.3854349
Rf,153,104,257,7.3817053
Rf,154,104,258,7.3825257
Rf,157,104,261,7.3713858
Db,152,105,257,7.3619767
Db,153,105,258,7.3594803
Db,154,105,259,7.3603626
Sg,154,106,260,7.3425632
Sg,155,106,261,7.339771
Sg,156,106,262,7.3411736
Bh,154,107,261,7.3173313
Bh,155,107,262,7.3157331
Hs,156,108,264,7.2983762
Hs,157,108,265,7.2962474
Hs,158,108,266,7.2982611
Mt,157,109,266,7.2707598
Ds,159,110,269,7.2501551
Ds,160,110,270,7.2537634
